hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[32],32,relu,6e-06,0.6433,0.6783,0.4214,12.23
[64],16,relu,7e-06,0.6631,0.6903,0.4198,10.75
[128],8,relu,4e-06,0.6051,0.6565,0.4285,13.3
[32],4,relu,2e-06,0.6582,0.6871,0.419,28.92
[64],16,tanh,0.000434,0.6481,0.6819,0.4127,11.68
[32],32,tanh,0.000297,0.6516,0.6841,0.4153,17.06
[128],8,tanh,0.000344,0.6499,0.6791,0.4243,17.69
[64],32,relu,1.1e-05,0.6242,0.6608,0.4239,8.77
[32],4,tanh,0.000455,0.6564,0.6842,0.4236,18.4
[64],32,tanh,0.000534,0.6437,0.677,0.4157,11.73
[128],16,relu,3e-06,0.6652,0.6929,0.4172,16.11
[64],4,relu,2e-06,0.6509,0.6805,0.4212,29.75
[32],8,relu,2e-06,0.6339,0.6718,0.4166,19.8
[64],4,tanh,0.000837,0.6493,0.6784,0.4217,10.14
[128],16,tanh,0.000561,0.6594,0.6866,0.4232,11.45
[128],4,relu,3e-06,0.6554,0.6838,0.4227,27.33
[32],8,tanh,0.000504,0.6586,0.6885,0.4169,13.42
[128],32,relu,2e-06,0.6221,0.6612,0.4163,10.01
[128],4,tanh,0.001327,0.6549,0.683,0.4228,7.74
[64],8,relu,4e-06,0.6504,0.6826,0.416,20.69
[32],16,relu,2e-06,0.66,0.6881,0.4201,20.2
[128],32,tanh,0.000245,0.6406,0.6743,0.4162,17.94
[64],8,tanh,0.000493,0.659,0.6865,0.4221,15.43
[32],16,tanh,0.000255,0.6557,0.6858,0.4185,25.57
"[32, 16]",4,relu,4e-06,0.653,0.6844,0.418,23.67
"[32, 16]",32,relu,3.2e-05,0.5835,0.6458,0.4291,8.34
"[32, 16]",32,tanh,0.001009,0.64,0.674,0.4152,13.19
"[32, 16]",4,tanh,0.00028,0.6515,0.6802,0.4229,25.11
"[64, 32]",4,relu,1.1e-05,0.6602,0.6882,0.4206,15.52
"[64, 32]",16,relu,9e-06,0.6648,0.6918,0.419,11.65
"[128, 64]",8,relu,6e-06,0.6486,0.6783,0.4294,12.18
"[32, 16]",8,relu,4e-06,0.649,0.6811,0.4174,24.66
"[64, 32]",4,tanh,0.000246,0.6659,0.6916,0.4224,23.54
"[64, 32]",16,tanh,0.000403,0.657,0.6893,0.4147,16.0
"[128, 64]",8,tanh,0.001775,0.6468,0.6764,0.4231,11.25
"[32, 16]",8,tanh,0.000669,0.6412,0.6733,0.4201,15.32
"[64, 32]",32,relu,1.2e-05,0.6525,0.6824,0.4211,12.6
"[128, 64]",16,relu,3e-06,0.6611,0.6902,0.4237,10.94
"[64, 32]",8,relu,8e-06,0.6436,0.68,0.4162,11.73
"[128, 64]",16,tanh,0.001107,0.6491,0.6783,0.4226,11.51
"[64, 32]",8,tanh,0.000565,0.6531,0.6825,0.4218,13.58
"[32, 16]",16,relu,7e-06,0.6695,0.6943,0.4223,25.69
"[64, 32]",32,tanh,0.000512,0.658,0.689,0.4145,19.5
"[128, 64]",32,relu,1.4e-05,0.6253,0.6657,0.4293,11.28
"[128, 64]",4,relu,4e-06,0.6637,0.6898,0.4223,13.11
"[32, 16]",16,tanh,0.00025,0.6639,0.6908,0.4231,21.56
"[128, 64]",32,tanh,0.001056,0.653,0.6848,0.4163,14.9
"[128, 64]",4,tanh,0.000749,0.6586,0.6861,0.4241,15.95
"[32, 16, 8]",4,relu,6e-06,0.6578,0.6853,0.4231,18.17
"[64, 32, 16]",16,relu,2.1e-05,0.6647,0.6908,0.4235,10.05
"[32, 16, 8]",32,relu,1.2e-05,0.6433,0.6764,0.4254,16.0
"[128, 64, 32]",8,relu,2e-05,0.6336,0.6701,0.4132,10.82
"[32, 16, 8]",4,tanh,0.000515,0.6539,0.6822,0.4235,21.35
"[64, 32, 16]",16,tanh,0.000302,0.6607,0.6911,0.4163,20.73
"[32, 16, 8]",32,tanh,0.000359,0.6459,0.6757,0.4219,26.45
"[32, 16, 8]",8,relu,1.4e-05,0.5859,0.6435,0.4477,14.34
"[128, 64, 32]",8,tanh,0.000879,0.6568,0.6845,0.4235,21.27
"[64, 32, 16]",32,relu,3.2e-05,0.6572,0.6854,0.4212,9.42
"[64, 32, 16]",4,relu,1.8e-05,0.6487,0.678,0.4237,13.34
"[128, 64, 32]",16,relu,1.8e-05,0.6671,0.6959,0.4293,14.87
"[64, 32, 16]",4,tanh,0.000737,0.6578,0.6851,0.4218,13.62
"[64, 32, 16]",32,tanh,0.000622,0.6558,0.6865,0.4174,17.3
"[32, 16, 8]",8,tanh,0.000346,0.6391,0.6757,0.4196,22.83
"[128, 64, 32]",16,tanh,0.002246,0.6516,0.6853,0.4121,9.74
"[128, 64, 32]",4,relu,8e-06,0.6573,0.6849,0.4236,14.89
"[32, 16, 8]",16,relu,1.5e-05,0.6562,0.6871,0.418,13.58
"[128, 64, 32]",32,relu,1e-05,0.6441,0.6793,0.4337,11.12
"[64, 32, 16]",8,relu,1e-05,0.6324,0.6745,0.4264,18.99
"[128, 64, 32]",4,tanh,0.000355,0.6564,0.6841,0.422,19.85
"[32, 16, 8]",16,tanh,0.000414,0.6538,0.6868,0.4148,19.54
"[128, 64, 32]",32,tanh,0.00065,0.6521,0.6833,0.4178,19.56
"[64, 32, 16]",8,tanh,0.000364,0.6501,0.6842,0.4151,21.59
