hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,1.4e-05,0.4025,0.4471,0.286,6.95
[128],8,relu,1.2e-05,0.4478,0.4724,0.2906,6.83
[64],16,tanh,0.000314,0.3792,0.425,0.2918,27.01
[32],32,relu,6e-06,0.3961,0.4411,0.2873,9.84
[64],32,relu,5e-06,0.4171,0.4566,0.2902,10.65
[128],8,tanh,0.000306,0.3922,0.4482,0.2934,23.08
[32],32,tanh,0.000298,0.434,0.4648,0.2881,25.6
[32],4,relu,1e-06,0.4643,0.4777,0.278,23.78
[128],16,relu,8e-06,0.3994,0.442,0.2947,8.09
[64],32,tanh,0.000651,0.3891,0.4377,0.2953,10.13
[64],4,relu,6e-06,0.4054,0.4517,0.2953,11.83
[128],16,tanh,0.00069,0.3732,0.4226,0.2925,8.76
[32],4,tanh,0.000347,0.4574,0.4846,0.2818,15.12
[128],32,relu,4e-06,0.4089,0.4478,0.2861,13.54
[32],8,relu,1e-06,0.4066,0.4419,0.2972,24.42
[128],4,relu,4e-06,0.4044,0.4532,0.2927,10.73
[64],4,tanh,0.000498,0.433,0.4667,0.2884,15.64
[128],32,tanh,0.000399,0.4534,0.4809,0.2867,13.29
[128],4,tanh,0.000442,0.4611,0.4829,0.2836,12.92
[32],8,tanh,0.000257,0.4446,0.4716,0.2867,20.14
[64],8,relu,7e-06,0.4084,0.4501,0.2951,12.91
[32],16,relu,4e-06,0.3958,0.4397,0.2924,17.64
[64],8,tanh,0.000412,0.424,0.4622,0.2904,13.95
[32],16,tanh,0.00048,0.3976,0.4427,0.295,16.77
"[32, 16]",32,relu,3e-05,0.4133,0.4512,0.2882,8.07
"[32, 16]",32,tanh,0.000425,0.4444,0.4637,0.2917,17.8
"[64, 32]",16,relu,6e-06,0.4038,0.4459,0.298,15.3
"[128, 64]",8,relu,5e-06,0.4133,0.4591,0.2937,14.61
"[32, 16]",4,relu,5e-06,0.4476,0.4722,0.2867,21.97
"[64, 32]",16,tanh,0.000534,0.399,0.4441,0.2974,14.66
"[32, 16]",4,tanh,0.001058,0.4572,0.4793,0.284,17.04
"[128, 64]",8,tanh,0.000553,0.4382,0.4693,0.2853,27.68
"[64, 32]",4,relu,6e-06,0.4004,0.4498,0.2909,32.57
"[64, 32]",32,relu,6e-06,0.3968,0.4411,0.2925,12.14
"[128, 64]",16,relu,3e-06,0.3877,0.429,0.2911,12.42
"[32, 16]",8,relu,4.3e-05,0.4157,0.4534,0.292,7.95
"[64, 32]",32,tanh,0.000882,0.4312,0.4666,0.287,12.2
"[64, 32]",4,tanh,0.000701,0.4648,0.485,0.284,18.04
"[128, 64]",16,tanh,0.000561,0.386,0.4332,0.2946,13.99
